Source page: http://data1.cde.ca.gov/dataquest/2000Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6,value_7
,,,,STAR,Students,,2000,2000,2000-,
,,,,2000,Included,2000,State-,Similar,2001,2001
,,,Click on column header link to view notes.,Percent,in the,API,wide,Schools,Growth,API
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3833241&DistCode=68478&AllCds=38684783833241,Abraham Lincoln High,,Abraham Lincoln High,94,1510,712,8,3,4,716
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830288&DistCode=68478&AllCds=38684783830288,Balboa High,,Balboa High,67,454,445,1,1,18,463
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830254&DistCode=68478&AllCds=38684783830254,Burton (Phillip & Sala) Academic High,,Burton (Phillip & Sala) Academic High,89,1111,599,4,6,10,609
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3831765&DistCode=68478&AllCds=38684783831765,Galileo High,,Galileo High,63,827,573,4,7,11,584
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830437&DistCode=68478&AllCds=38684783830437,Gateway High (Charter #141),,Gateway High (Charter #141),87,152,671,7,3,6,677
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3839081&DistCode=68478&AllCds=38684783839081,George Washington High,,George Washington High,81,1306,697,8,4,5,702
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830197&DistCode=68478&AllCds=38684783830197,Independence High (Alter.),,Independence High (Alter.),73,143,440,1,1,18,458
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830353&DistCode=68478&AllCds=38684783830353,International Studies Academy,,International Studies Academy,86,307,572,4,8,11,583
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830411&DistCode=68478&AllCds=38684783830411,Leadership High (Char),,Leadership High (Char),95,225,713,8,,4,717
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3833407&DistCode=68478&AllCds=38684783833407,Lowell High,,Lowell High,98,1694,933,10,10,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830403&DistCode=68478&AllCds=38684783830403,Marshall (Thurgood) Academic High,,Marshall (Thurgood) Academic High,97,720,599,4,8,10,609
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830072&DistCode=68478&AllCds=38684783830072,McAteer (J. Eugene) High,,McAteer (J. Eugene) High,61,412,489,1,2,16,505
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3834082&DistCode=68478&AllCds=38684783834082,Mission High,,Mission High,79,450,434,1,2,18,452
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3834769&DistCode=68478&AllCds=38684783834769,O'Connell (John A.) High,,O'Connell (John A.) High,86,162,472,1,1,16,488
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830205&DistCode=68478&AllCds=38684783830205,Raoul Wallenberg Traditional High,,Raoul Wallenberg Traditional High,94,394,687,7,6,6,693
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=3830387&DistCode=68478&AllCds=38684783830387,School of the Arts (High),,School of the Arts (High),98,248,763,9,3,2,765
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6112601&DistCode=68478&AllCds=38684786112601,Creative Arts Charter,,Creative Arts Charter,100,74,583 *,N/A,N/A,11,594
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6115901&DistCode=68478&AllCds=38684786115901,Tenderloin Community,,Tenderloin Community,53,41,634 *,N/A,N/A,8,642
